Experiment,Part,Stimulus,time,x,y,x_offset,y_offset
UV22MS,1663266938,18.jpg,1663266947.0957263,498.21385038105836,979.1900351432852,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.1280499,329.2767369120036,883.6002853714111,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.175047,555.6625382591917,1060.6970128317298,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.2070465,671.1965310869956,1121.9424799464475,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.239084,2883.261701756229,3900.470190745342,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.2711623,3333.0758006944425,4614.579609724403,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.3030488,3211.3347511631346,4478.574291875676,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.3360484,3152.3132068075674,4400.698364749261,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.368048,3043.233856385434,4297.393016013011,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.3990476,3223.7481373850223,4631.412124862306,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.4310477,3124.6791437617608,4508.258743022986,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.4630463,3228.3524232790446,4647.152658114418,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.4950464,3033.519711239499,4413.667533437765,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.5270462,3053.2814587788102,4255.83084658035,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.575047,3161.8718105023618,4405.276927436819,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.607047,3251.4806395394344,4501.227846768019,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.6390464,3192.909164189828,4523.231726936604,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.6710465,3227.188598312124,4595.453722350173,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.7030473,2968.015335179052,4423.082487109169,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.7355454,3026.527063388855,4347.393722207411,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.7679534,3000.1635115068448,4336.864897072795,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.7994215,3161.180546639006,4503.1034681796855,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.8320115,3206.3602077090413,4629.561808813939,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.8640385,3289.6194779391867,4511.044690217623,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.8955464,2842.9278763781813,4316.880527053031,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.9321907,3044.198206497524,4277.40159959404,0.0,0.0
UV22MS,1663266938,18.jpg,1663266947.9757903,3029.2440535408596,4240.232648275127,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.008192,3143.229209703452,4307.488377046248,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.0394604,2967.0644850057092,4240.485068942555,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.0719163,2945.2459518537553,4176.6969184833315,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.104206,3014.3396809105966,4192.506922276471,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.135576,2841.0174875059524,4046.7272931314847,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.1681066,2900.169773316916,4015.5087381220706,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.2006564,3109.3186067771026,4241.419189764406,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.2321568,3058.841166566956,4236.2537939721715,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.2635126,3077.939731221282,4265.686994709523,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.2959368,2964.815513717606,4153.272857449613,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.3434467,2902.492290548261,3940.064477410083,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.3810844,2894.843315434496,3999.9891078738574,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.406066,2894.843315434496,3999.9891078738574,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.440285,2909.021878192205,4283.975703511703,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.471409,2950.0780434671165,4246.297121999987,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.504027,3043.22530406769,4184.0979008671675,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.5365212,3098.341843942647,4125.226383104164,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.5697508,3033.97073255283,4146.931571433713,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.5998154,2868.7523932045838,4174.708343024985,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.6319506,3043.092309638291,4315.748351694184,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.6639462,3045.327921021268,4217.876406242401,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.6954908,2863.1267888164884,4097.502281752764,0.0,0.0
UV22MS,1663266938,18.jpg,1663266948.7491693,2869.394261992644,3980.8497390904913,0.0,0.0
