|('Part', 'Obs', 'time', 'x', 'y', 'Video')|
"['1649319328.0663066', 10, 1649319339.0500214, 630.7991360792907, 751.8837962338926, 'Media1.mp4_2']"
"['1649319328.0663066', 11, 1649319339.069006, 688.8523514459639, 803.9780264203032, 'Media1.mp4_3']"
"['1649319328.0663066', 12, 1649319339.1331112, 694.3934259340672, 801.6837660279646, 'Media1.mp4_4']"
"['1649319328.0663066', 13, 1649319339.1642363, 694.3934259340672, 801.6837660279646, 'Media1.mp4_5']"
"['1649319328.0663066', 14, 1649319339.2446759, 722.7219856178681, 800.7349728981001, 'Media1.mp4_6']"
"['1649319328.0663066', 15, 1649319339.2636278, 722.7219856178681, 800.7349728981001, 'Media1.mp4_7']"
"['1649319328.0663066', 16, 1649319339.3401425, 739.4359328332084, 790.9378105044086, 'Media1.mp4_8']"
"['1649319328.0663066', 17, 1649319339.3637002, 739.4359328332084, 790.9378105044086, 'Media1.mp4_9']"
"['1649319328.0663066', 18, 1649319339.4365058, 773.5652957795592, 805.8658205592728, 'Media1.mp4_10']"
"['1649319328.0663066', 19, 1649319339.4633617, 773.5652957795592, 805.8658205592728, 'Media1.mp4_11']"
"['1649319328.0663066', 20, 1649319339.5327854, 759.7750619659573, 830.3385151823786, 'Media1.mp4_12']"
"['1649319328.0663066', 21, 1649319339.6443346, 742.5444159992376, 835.0133949496308, 'Media1.mp4_13']"
"['1649319328.0663066', 22, 1649319339.667273, 742.5444159992376, 835.0133949496308, 'Media1.mp4_14']"
"['1649319328.0663066', 23, 1649319339.7406983, 730.7863462430278, 835.556361502998, 'Media1.mp4_15']"
"['1649319328.0663066', 24, 1649319339.7646675, 730.7863462430278, 835.556361502998, 'Media1.mp4_16']"
"['1649319328.0663066', 25, 1649319339.836477, 712.3291196683867, 846.9502677115645, 'Media1.mp4_17']"
"['1649319328.0663066', 26, 1649319339.9321334, 698.6165529546442, 873.0735032817367, 'Media1.mp4_18']"
"['1649319328.0663066', 27, 1649319339.953813, 698.6165529546442, 873.0735032817367, 'Media1.mp4_19']"
"['1649319328.0663066', 28, 1649319340.0434084, 710.1511408261463, 864.0564821379378, 'Media1.mp4_20']"
"['1649319328.0663066', 29, 1649319340.0683346, 710.1511408261463, 864.0564821379378, 'Media1.mp4_21']"
"['1649319328.0663066', 30, 1649319340.1401494, 719.0170717756569, 859.5412497405107, 'Media1.mp4_22']"
"['1649319328.0663066', 31, 1649319340.1610932, 719.0170717756569, 859.5412497405107, 'Media1.mp4_23']"
"['1649319328.0663066', 32, 1649319340.2364216, 722.5589954612774, 849.0194401182177, 'Media1.mp4_24']"
"['1649319328.0663066', 33, 1649319340.2593894, 722.5589954612774, 849.0194401182177, 'Media1.mp4_25']"
"['1649319328.0663066', 34, 1649319340.332333, 771.5270556624555, 795.993991623247, 'Media1.mp4_26']"
"['1649319328.0663066', 35, 1649319340.3582633, 771.5270556624555, 795.993991623247, 'Media1.mp4_27']"
"['1649319328.0663066', 36, 1649319340.4441156, 800.465164662568, 768.1891736198704, 'Media1.mp4_28']"
"['1649319328.0663066', 37, 1649319340.469049, 800.465164662568, 768.1891736198704, 'Media1.mp4_29']"
"['1649319328.0663066', 38, 1649319340.539863, 832.5223657284364, 725.9990938518295, 'Media1.mp4_30']"
"['1649319328.0663066', 39, 1649319340.5647964, 832.5223657284364, 725.9990938518295, 'Media1.mp4_31']"
"['1649319328.0663066', 40, 1649319340.6365113, 845.7922911837763, 711.0990664870205, 'Media1.mp4_32']"
"['1649319328.0663066', 41, 1649319340.7319198, 854.9267294980109, 692.2105872792883, 'Media1.mp4_33']"
"['1649319328.0663066', 42, 1649319340.7537534, 854.9267294980109, 692.2105872792883, 'Media1.mp4_34']"
"['1649319328.0663066', 43, 1649319340.845391, 822.2017077261103, 716.6248613717235, 'Media1.mp4_35']"
"['1649319328.0663066', 44, 1649319340.8683279, 822.2017077261103, 716.6248613717235, 'Media1.mp4_36']"
"['1649319328.0663066', 45, 1649319340.9410172, 832.0649619914038, 714.5836699976799, 'Media1.mp4_37']"
"['1649319328.0663066', 46, 1649319340.9679494, 832.0649619914038, 714.5836699976799, 'Media1.mp4_38']"
"['1649319328.0663066', 47, 1649319341.0362046, 830.2165309795173, 709.2278318954541, 'Media1.mp4_39']"
"['1649319328.0663066', 48, 1649319341.0569923, 830.2165309795173, 709.2278318954541, 'Media1.mp4_40']"
"['1649319328.0663066', 49, 1649319341.1318977, 852.1026693276326, 666.4696599606052, 'Media1.mp4_41']"
"['1649319328.0663066', 50, 1649319341.2443235, 877.3244604385286, 635.188894454227, 'Media1.mp4_42']"
"['1649319328.0663066', 51, 1649319341.2653198, 877.3244604385286, 635.188894454227, 'Media1.mp4_43']"
"['1649319328.0663066', 52, 1649319341.3404398, 892.7017588579679, 604.7490680154983, 'Media1.mp4_44']"
"['1649319328.0663066', 53, 1649319341.3683517, 892.7017588579679, 604.7490680154983, 'Media1.mp4_45']"
"['1649319328.0663066', 54, 1649319341.43704, 929.8270096771139, 543.1038694071603, 'Media1.mp4_46']"
"['1649319328.0663066', 55, 1649319341.4620066, 929.8270096771139, 543.1038694071603, 'Media1.mp4_47']"
"['1649319328.0663066', 56, 1649319341.533305, 967.0147772773253, 492.89537774297764, 'Media1.mp4_48']"
"['1649319328.0663066', 57, 1649319341.645312, 1004.8852935655959, 421.76205160206814, 'Media1.mp4_49']"
"['1649319328.0663066', 58, 1649319341.6851742, 1004.8852935655959, 421.76205160206814, 'Media1.mp4_50']"
"['1649319328.0663066', 59, 1649319341.7407146, 1019.8533729318651, 388.343886891422, 'Media1.mp4_51']"
"['1649319328.0663066', 60, 1649319341.7618117, 1019.8533729318651, 388.343886891422, 'Media1.mp4_52']"
"['1649319328.0663066', 61, 1649319341.8370638, 1016.5029327811926, 410.71935055260064, 'Media1.mp4_53']"
"['1649319328.0663066', 62, 1649319341.9331372, 1007.1371312529036, 418.084176403705, 'Media1.mp4_54']"
"['1649319328.0663066', 63, 1649319341.9568555, 1007.1371312529036, 418.084176403705, 'Media1.mp4_55']"
"['1649319328.0663066', 64, 1649319342.0441344, 991.1051702495856, 443.78006336685075, 'Media1.mp4_56']"
"['1649319328.0663066', 65, 1649319342.0769775, 991.1051702495856, 443.78006336685075, 'Media1.mp4_57']"
"['1649319328.0663066', 66, 1649319342.1404386, 972.9810692982828, 481.5162908305497, 'Media1.mp4_58']"
"['1649319328.0663066', 67, 1649319342.1606188, 972.9810692982828, 481.5162908305497, 'Media1.mp4_59']"
"['1649319328.0663066', 68, 1649319342.2365892, 985.5838834215165, 467.499606853464, 'Media1.mp4_60']"
"['1649319328.0663066', 69, 1649319342.2596486, 985.5838834215165, 467.499606853464, 'Media1.mp4_61']"
"['1649319328.0663066', 70, 1649319342.3316183, 1010.7117581477864, 430.1389169114602, 'Media1.mp4_62']"
"['1649319328.0663066', 71, 1649319342.356496, 1010.7117581477864, 430.1389169114602, 'Media1.mp4_63']"
"['1649319328.0663066', 72, 1649319342.4442182, 1024.6978922108192, 404.6205148752292, 'Media1.mp4_64']"
"['1649319328.0663066', 73, 1649319342.4631674, 1024.6978922108192, 404.6205148752292, 'Media1.mp4_65']"
"['1649319328.0663066', 74, 1649319342.5416648, 1033.805906273422, 395.77232218699874, 'Media1.mp4_66']"
"['1649319328.0663066', 75, 1649319342.5634525, 1033.805906273422, 395.77232218699874, 'Media1.mp4_67']"
"['1649319328.0663066', 76, 1649319342.6380086, 1030.8041502353108, 398.13905281788084, 'Media1.mp4_68']"
"['1649319328.0663066', 77, 1649319342.67815, 1030.8041502353108, 398.13905281788084, 'Media1.mp4_69']"
"['1649319328.0663066', 78, 1649319342.7329588, 1043.1607488280738, 392.210183549701, 'Media1.mp4_70']"
"['1649319328.0663066', 79, 1649319342.8443136, 1036.3759438293464, 409.03335517629216, 'Media1.mp4_71']"
"['1649319328.0663066', 80, 1649319342.8702192, 1036.3759438293464, 409.03335517629216, 'Media1.mp4_72']"
"['1649319328.0663066', 81, 1649319342.9407182, 1040.979270901329, 395.8272738723283, 'Media1.mp4_73']"
"['1649319328.0663066', 82, 1649319342.9628615, 1040.979270901329, 395.8272738723283, 'Media1.mp4_74']"
"['1649319328.0663066', 83, 1649319343.0357761, 1081.0161907812376, 338.60554281650116, 'Media1.mp4_75']"
"['1649319328.0663066', 84, 1649319343.1340003, 1064.227268397589, 364.4556651890223, 'Media1.mp4_76']"
"['1649319328.0663066', 85, 1649319343.1559463, 1064.227268397589, 364.4556651890223, 'Media1.mp4_77']"
"['1649319328.0663066', 86, 1649319343.2450833, 1064.9919638469255, 381.4872404420364, 'Media1.mp4_78']"
"['1649319328.0663066', 87, 1649319343.275842, 1064.9919638469255, 381.4872404420364, 'Media1.mp4_79']"
"['1649319328.0663066', 88, 1649319343.3403785, 1073.7570513146802, 367.9690048636801, 'Media1.mp4_80']"
"['1649319328.0663066', 89, 1649319343.3623614, 1073.7570513146802, 367.9690048636801, 'Media1.mp4_81']"
"['1649319328.0663066', 90, 1649319343.4363065, 1064.4574714926998, 394.5097802345381, 'Media1.mp4_82']"
